scenarioName,scenarioLoop,stepName,stepLoop,correlationId,requestTimeStamp,responseDelayMilliSec,responseTimeStamp,result,method
"mock-WHEN-event-has-All-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",0,SETUP_RESET_MAPPINGS,,"4d120881-acae-44a8-87ba-3c1b4d577e5b","2020-10-16T21:01:23.100831",1466.0,"2020-10-16T21:01:24.567095",PASSED,POST
"mock-WHEN-event-has-All-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",0,Webhook-Event-Consume,,"d77a062c-34ed-4ff2-9a69-1e55d4ed24d3","2020-10-16T21:01:40.956777",4023.0,"2020-10-16T21:01:44.980232",PASSED,consume
"mock-WHEN-event-has-All-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",0,"DELAY_for_Wiremock_Processing",,"ff765250-5e1c-42a9-915f-6ee1f8ac08f4","2020-10-16T21:01:33.947027",7005.0,"2020-10-16T21:01:40.952991",PASSED,seconds
"mock-WHEN-event-has-All-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",0,"GIVEN_webhook_xtransferOrder_event_posted_on_kafka",,"20d02002-a5e0-4466-b193-fc4eea7c75db","2020-10-16T21:01:33.028974",916.0,"2020-10-16T21:01:33.945455",PASSED,produceMessage
"mock-WHEN-event-has-All-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",0,"EXPECT_GET_call_to_OSP_for_Purchase_order_details",,"c174da50-687f-4601-bc42-687372a9638e","2020-10-16T21:01:44.981314",72.0,"2020-10-16T21:01:45.053521",FAILED,POST
"mock-WHEN-event-has-All-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",0,"Clear-Kafka-Queue-Webhook",,"20f2a534-21cc-4e83-b8b3-b606fa9f728b","2020-10-16T21:01:24.601220",4390.0,"2020-10-16T21:01:28.991228",PASSED,consume
"mock-WHEN-event-has-All-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",0,"Clear-Kafka-Queue-Inventory",,"89c896f2-3c0f-4f22-9432-f6d8dad4a01f","2020-10-16T21:01:28.992799",4034.0,"2020-10-16T21:01:33.027734",PASSED,consume
"mock-WHEN-event-has-All-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",0,SETUP_DELETE_REQUESTS,,"a215d58f-fe0e-4b33-9db0-04749093d085","2020-10-16T21:01:24.572354",27.0,"2020-10-16T21:01:24.599809",PASSED,DELETE
"mock-WHEN-event-has-zero-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",1,Webhook-Event-Consume,,"b8ddb220-0d73-4e2b-b437-3e746833c820","2020-10-16T21:02:01.505283",4019.0,"2020-10-16T21:02:05.524433",PASSED,consume
"mock-WHEN-event-has-zero-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",1,"Clear-Kafka-Queue-Webhook",,"5cc1e257-8e75-4acc-871b-f9ba9cddf00a","2020-10-16T21:01:45.117849",4024.0,"2020-10-16T21:01:49.142428",PASSED,consume
"mock-WHEN-event-has-zero-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",1,"EXPECT_GET_call_to_OSP_for_Purchase_order_details",,"993eb592-28c9-4286-abc7-81e48148ed04","2020-10-16T21:02:05.525362",30.0,"2020-10-16T21:02:05.555986",FAILED,POST
"mock-WHEN-event-has-zero-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",1,SETUP_RESET_MAPPINGS,,"53546812-11bb-48db-94d0-a6bb3a039fb1","2020-10-16T21:01:45.056098",44.0,"2020-10-16T21:01:45.100277",PASSED,POST
"mock-WHEN-event-has-zero-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",1,"GIVEN_webhook_xtransferOrder_event_posted_on_kafka",,"73e00983-b118-48ae-b487-28cf4f015e62","2020-10-16T21:01:54.459128",43.0,"2020-10-16T21:01:54.502650",PASSED,produceMessage
"mock-WHEN-event-has-zero-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",1,SETUP_DELETE_REQUESTS,,"a5dd19e6-2352-4d59-897b-fed6140f143b","2020-10-16T21:01:45.101454",15.0,"2020-10-16T21:01:45.116712",PASSED,DELETE
"mock-WHEN-event-has-zero-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",1,"Clear-Kafka-Queue-Inventory",,"b5a432b2-e46e-4b0f-ad85-93af7c1a3340","2020-10-16T21:01:49.143276",5314.0,"2020-10-16T21:01:54.458043",PASSED,consume
"mock-WHEN-event-has-zero-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",1,"DELAY_for_Wiremock_Processing",,"53676374-9a6c-4b79-8a4a-b57199d56443","2020-10-16T21:01:54.503506",7000.0,"2020-10-16T21:02:01.504413",PASSED,seconds
"mock-WHEN-event-has-All-fields-being-ORDER-EXPECT-message-posted-to-Desp",2,"Clear-Kafka-Queue-Inventory",,"65602320-f87f-4b63-b01e-90d7d2c476cf","2020-10-16T21:02:09.624506",5246.0,"2020-10-16T21:02:14.871270",PASSED,consume
"mock-WHEN-event-has-All-fields-being-ORDER-EXPECT-message-posted-to-Desp",2,"GIVEN_webhook_xtransferOrder_event_posted_on_kafka",,"1ea53903-1fe3-4cd2-8ad1-dbacc0aa51c7","2020-10-16T21:02:14.872173",44.0,"2020-10-16T21:02:14.917100",PASSED,produceMessage
"mock-WHEN-event-has-All-fields-being-ORDER-EXPECT-message-posted-to-Desp",2,"Clear-Kafka-Queue-Webhook",,"f4aab604-d1c5-4709-b9f9-f94ed352268c","2020-10-16T21:02:05.610420",4013.0,"2020-10-16T21:02:09.623671",PASSED,consume
"mock-WHEN-event-has-All-fields-being-ORDER-EXPECT-message-posted-to-Desp",2,SETUP_DELETE_REQUESTS,,"e1f94ccd-f6d5-409e-8567-5b749e8c7fad","2020-10-16T21:02:05.593261",16.0,"2020-10-16T21:02:05.609430",PASSED,DELETE
"mock-WHEN-event-has-All-fields-being-ORDER-EXPECT-message-posted-to-Desp",2,Webhook-Event-Consume,,"0c2f71cc-6123-4d60-8598-7edf512e5c71","2020-10-16T21:02:21.921004",4013.0,"2020-10-16T21:02:25.934135",PASSED,consume
"mock-WHEN-event-has-All-fields-being-ORDER-EXPECT-message-posted-to-Desp",2,"DELAY_for_Wiremock_Processing",,"eb10d0f8-7df7-453d-b6c3-782f2cfc8fd4","2020-10-16T21:02:14.918389",7001.0,"2020-10-16T21:02:21.920324",PASSED,seconds
"mock-WHEN-event-has-All-fields-being-ORDER-EXPECT-message-posted-to-Desp",2,SETUP_RESET_MAPPINGS,,"4949e75d-7fe5-4ed3-9762-126671acc851","2020-10-16T21:02:05.557113",35.0,"2020-10-16T21:02:05.592282",PASSED,POST
"mock-WHEN-event-has-All-fields-being-ORDER-EXPECT-message-posted-to-Desp",2,"EXPECT_GET_call_to_OSP_for_Purchase_order_details",,"fe60eaec-d7e8-4c7f-abde-c821ca8da815","2020-10-16T21:02:25.935053",24.0,"2020-10-16T21:02:25.959721",FAILED,POST
